Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
822.1549	569.5524	21159.55	19530.15
822.2996	571.6928	21547.3	19899.25
822.4443	573.8325	22610.6	20935.5
822.589	575.9717	23800	21905.2
822.7337	578.1101	23701.7	21867.6
822.8785	580.2479	22559.4	20794.55
823.0232	582.3851	21594.95	19850.45
823.1679	584.5216	21032.95	19259.75
823.3127	586.6575	20833.4	19028.05
823.4574	588.7927	20714.55	18820.8
823.6022	590.9272	20453.15	18734.3
823.747	593.0611	20410.5	18635.4
823.8918	595.1944	20295	18555.3
824.0366	597.327	20198.15	18456.25
824.1813	599.4589	20102.2	18404.7
824.3261	601.5902	20007.65	18283.45
824.4709	603.7208	19973.95	18250.6
824.6158	605.8508	19948.35	18185.75
824.7606	607.9802	19831.3	18050.55
824.9054	610.1088	19796.45	18103.1
825.0502	612.2368	19769.15	18032
825.1951	614.3642	19705.6	18016.95
825.3399	616.4909	19678.25	17907.15
825.4848	618.6169	19691.45	17803.6
825.6296	620.7423	19516.8	17703.25
825.7745	622.867	19363.1	17654
825.9193	624.9911	19303	17582.95
826.0642	627.1145	19322.75	17536.95
826.2091	629.2372	19300.6	17495.7
826.354	631.3593	19540.75	17453.3
826.4989	633.4807	19368.65	17443.7
826.6438	635.6015	19329.95	17402.55
826.7887	637.7216	19105.95	17377.55
826.9336	639.841	19033.05	17368.7
827.0785	641.9598	19131.55	17416.35
827.2234	644.0779	19143.2	17425.3
827.3683	646.1954	19064.1	17330.6
827.5132	648.3122	18975.7	17209.5
827.6582	650.4283	18847.75	17093.75
827.8031	652.5438	18773.1	16975.75
827.9481	654.6585	18703.1	16876.7
828.093	656.7727	18652.25	16830.6
828.238	658.8861	18633.95	16781.1
828.3829	660.9989	18584.55	16700.8
828.5279	663.1111	18491.2	16656.15
828.6728	665.2225	18404.55	16538.8
828.8178	667.3333	18266	16473.35
828.9628	669.4435	18219.05	16354
829.1078	671.5529	18234.75	16275.25
829.2528	673.6617	18002.65	16217.1
829.3978	675.7699	17920.5	16131.9
829.5428	677.8773	17931.3	16082.75
829.6878	679.9841	17835.65	16032.1
829.8328	682.0902	17771	15990
829.9778	684.1957	17788.15	16007.55
830.1228	686.3005	17760.75	15969.95
830.2678	688.4046	17747.7	15922.45
830.4128	690.508	17644.9	15901.25
830.5579	692.6108	17664.15	15894.35
830.7029	694.7129	17698	15885.15
830.8479	696.8143	17680.7	15816.9
830.993	698.9151	17601.3	15777.6
831.138	701.0152	17554.65	15737.25
831.2831	703.1146	17521.85	15733.3
831.4281	705.2133	17426.1	15696
831.5732	707.3114	17467.15	15656.5
831.7183	709.4087	17395.35	15636.9
831.8633	711.5054	17477.8	15680.4
832.0084	713.6015	17445.7	15667.35
832.1535	715.6968	17384.75	15631.75
832.2985	717.7915	17340.6	15622.3
